HQ317389.1	0	43762	45728	0.957007
HQ317389.1	1	1966	45728	0.0429934
HQ634188.1	0	43405	45730	0.949158
HQ634188.1	1	2325	45730	0.0508419
HQ317388.1	0	38780	44892	0.863851
HQ317388.1	1	6112	44892	0.136149
NC_021865.1	0	39659	41294	0.960406
NC_021865.1	1	1635	41294	0.0395941
NC_020479.1	0	47516	49425	0.961376
NC_020479.1	1	1909	49425	0.0386242
NC_021857.1	0	39390	41475	0.949729
NC_021857.1	1	2085	41475	0.0502712
NC_021772.1	0	69158	72394	0.9553
NC_021772.1	1	3236	72394	0.0446998
NC_021782.1	0	68673	72098	0.952495
NC_021782.1	1	3425	72098	0.0475048
NC_022518.1	0	8717	9472	0.920291
NC_022518.1	1	755	9472	0.0797086
NC_022230.1	0	6134	6398	0.958737
NC_022230.1	1	264	6398	0.0412629
NC_021203.1	0	2316	2539	0.91217
NC_021203.1	1	223	2539	0.0878299
NC_021204.1	0	2419	2495	0.969539
NC_021204.1	1	76	2495	0.0304609
NC_020896.1	0	9673	10081	0.959528
NC_020896.1	1	408	10081	0.0404722
NC_018863.1	0	154614	162596	0.950909
NC_018863.1	1	7982	162596	0.049091
NC_022091.1	0	41533	42874	0.968722
NC_022091.1	1	1341	42874	0.0312777
NC_022580.1	0	11988	12676	0.945724
NC_022580.1	1	688	12676	0.0542758
NC_022581.1	0	11182	11806	0.947146
NC_022581.1	1	624	11806	0.0528545
NC_019782.1	0	32796	36566	0.896899
NC_019782.1	1	3770	36566	0.103101
NC_022249.1	0	6584	6795	0.968948
NC_022249.1	1	211	6795	0.0310522
NC_008305.1	0	2563	2602	0.985012
NC_008305.1	1	39	2602	0.0149885
NC_021923.1	0	127585	140633	0.90722
NC_021923.1	1	13048	140633	0.0927805
NC_021801.1	0	41182	42902	0.959909
NC_021801.1	1	1720	42902	0.0400914
NC_018872.2	0	9183	9512	0.965412
NC_018872.2	1	329	9512	0.0345879
NC_020077.1	0	69504	76107	0.913241
NC_020077.1	1	6603	76107	0.0867594
NC_022616.1	0	1867	1936	0.96436
NC_022616.1	1	69	1936	0.0356405
NC_022617.1	0	1566	1710	0.915789
NC_022617.1	1	144	1710	0.0842105
NC_022619.1	0	16791	17486	0.960254
NC_022619.1	1	695	17486	0.0397461
NC_022630.1	0	5993	6296	0.951874
NC_022630.1	1	303	6296	0.0481258
NC_022631.1	0	3201	3303	0.969119
NC_022631.1	1	102	3303	0.030881
NC_019419.2	0	41946	43457	0.96523
NC_019419.2	1	1511	43457	0.03477
NC_022647.1	0	7369	7647	0.963646
NC_022647.1	1	278	7647	0.0363541
NC_018459.1	0	4100	4335	0.94579
NC_018459.1	1	235	4335	0.0542099
NC_018460.1	0	815	834	0.977218
NC_018460.1	1	19	834	0.0227818
NC_018461.1	0	6374	6861	0.929019
NC_018461.1	1	487	6861	0.0709809
NC_018462.1	0	786	843	0.932384
NC_018462.1	1	57	843	0.0676157
NC_018463.1	0	6275	6863	0.914323
NC_018463.1	1	588	6863	0.0856768
NC_018464.1	0	838	927	0.903991
NC_018464.1	1	89	927	0.0960086
NC_018465.1	0	6345	6966	0.910853
NC_018465.1	1	621	6966	0.0891473
NC_018466.1	0	3943	4330	0.910624
NC_018466.1	1	387	4330	0.0893764
NC_018467.1	0	3928	4314	0.910524
NC_018467.1	1	386	4314	0.0894761
NC_018476.1	0	6149	6895	0.891806
NC_018476.1	1	746	6895	0.108194
NC_018477.1	0	782	860	0.909302
NC_018477.1	1	78	860	0.0906977
NC_018478.1	0	4148	4417	0.939099
NC_018478.1	1	269	4417	0.0609011
NC_021298.1	0	48177	51252	0.940002
NC_021298.1	1	3075	51252	0.0599977
NC_021304.1	0	48757	51552	0.945783
NC_021304.1	1	2795	51552	0.0542171
NC_021339.1	0	47421	51077	0.928422
NC_021339.1	1	3656	51077	0.0715782
NC_022744.1	0	38796	39860	0.973307
NC_022744.1	1	1064	39860	0.0266934
NC_022745.1	0	8998	9359	0.961428
NC_022745.1	1	361	9359	0.0385725
NC_022746.1	0	41607	42957	0.968573
NC_022746.1	1	1350	42957	0.0314268
NC_022747.1	0	32552	34145	0.953346
NC_022747.1	1	1593	34145	0.046654
NC_022748.1	0	4866	5280	0.921591
NC_022748.1	1	414	5280	0.0784091
NC_022749.1	0	38032	39758	0.956587
NC_022749.1	1	1726	39758	0.0434126
NC_022751.1	0	41493	42480	0.976766
NC_022751.1	1	987	42480	0.0232345
NC_022752.1	0	41492	42665	0.972507
NC_022752.1	1	1173	42665	0.0274933
